image,label,question,word,wordLabels
2408359.jpg,2,what type of boat is this,boat,1 1 1 1 1 1
2361061.jpg,1,how many boats are in the water,water,1 1 1 1 1 1 0
2408359.jpg,2,how many boats are in the water,water,1 1 1 1 1 1 1
2406417.jpg,1,what is in the sky above the boats,sky,1 1 1 1 0 1 1 1
2408359.jpg,2,what is in the sky above the boats,sky,1 1 1 1 1 1 1 1
2347576.jpg,1,what is showing a reflection in the water,water,1 1 1 1 1 1 1 0
2408359.jpg,2,what is showing a reflection in the water,water,1 1 1 1 1 1 1 1
2322288.jpg,1,who is on the plane,plane,1 1 1 1 0
2411684.jpg,2,who is on the plane,plane,1 1 1 1 1
2379405.jpg,1,why is the plane so low,plane,1 1 1 0 1 1
2411684.jpg,2,why is the plane so low,plane,1 1 1 1 1 1
2350522.jpg,1,what color is the plane,plane,1 1 1 1 0
2411684.jpg,2,what color is the plane,plane,1 1 1 1 1
2335138.jpg,1,what is under the plane,plane,1 1 1 1 0
2411684.jpg,2,what is under the plane,plane,1 1 1 1 1
2374702.jpg,1,where is the plane going,plane,1 1 1 0 1
2411684.jpg,2,where is the plane going,plane,1 1 1 1 1
2332561.jpg,1,how does the sky look,sky,1 1 1 0 1
2411684.jpg,2,how does the sky look,sky,1 1 1 1 1
2367722.jpg,1,what is in the sky,sky,1 1 1 1 0
2411684.jpg,2,what is in the sky,sky,1 1 1 1 1
2386040.jpg,1,what is under the plane,plane,1 1 1 1 0
2411684.jpg,2,what is under the plane,plane,1 1 1 1 1
2365868.jpg,1,where are the trees,trees,1 1 1 0
2411684.jpg,2,where are the trees,trees,1 1 1 1
2329104.jpg,1,what is the plane doing,plane,1 1 1 0 1
2411684.jpg,2,what is the plane doing,plane,1 1 1 1 1
2377629.jpg,1,what are the windows made of,windows,1 1 1 0 1 1
2411684.jpg,2,what are the windows made of,windows,1 1 1 1 1 1
2395919.jpg,1,what does the sky have in it,sky,1 1 1 0 1 1 1
2411684.jpg,2,what does the sky have in it,sky,1 1 1 1 1 1 1
2388509.jpg,1,what is under the plane,plane,1 1 1 1 0
2411684.jpg,2,what is under the plane,plane,1 1 1 1 1
2396667.jpg,1,how much tires are on plane,plane,1 1 1 1 1 0
2411684.jpg,2,how much tires are on plane,plane,1 1 1 1 1 1
2415398.jpg,1,what is behind the plane,plane,1 1 1 1 0
2411684.jpg,2,what is behind the plane,plane,1 1 1 1 1
2369875.jpg,1,how is the sky,sky,1 1 1 0
2411684.jpg,2,how is the sky,sky,1 1 1 1
2336328.jpg,1,what is on the side of the truck,truck,1 1 1 1 1 1 1 0
2341988.jpg,2,what is on the side of the truck,truck,1 1 1 1 1 1 1 1
2377136.jpg,1,what color is the jacket,jacket,1 1 1 1 0
2388247.jpg,2,what color is the jacket,jacket,1 1 1 1 1
2414164.jpg,1,what color are her jeans,jeans,1 1 1 1 0
2388247.jpg,2,what color are her jeans,jeans,1 1 1 1 1
2363903.jpg,1,what kind of pants is the woman wearing,woman,1 1 1 1 1 1 0 1
2388247.jpg,2,what kind of pants is the woman wearing,woman,1 1 1 1 1 1 1 1
2322886.jpg,1,what outerwear is the woman wearing on the upper body,woman,1 1 1 1 0 1 1 1 1 1
2388247.jpg,2,what outerwear is the woman wearing on the upper body,woman,1 1 1 1 1 1 1 1 1 1
2387739.jpg,1,what street number is it,street,1 0 1 1 1
2388247.jpg,2,what street number is it,street,1 1 1 1 1
2371998.jpg,1,what is this woman carrying,woman,1 1 1 0 1
2388247.jpg,2,what is this woman carrying,woman,1 1 1 1 1
2322237.jpg,1,what is piled against the wall,wall,1 1 1 1 1 0
2388247.jpg,2,what is piled against the wall,wall,1 1 1 1 1 1
2404025.jpg,1,where should this woman dispose of trash,woman,1 1 1 0 1 1 1
2388247.jpg,2,where should this woman dispose of trash,woman,1 1 1 1 1 1 1
2416390.jpg,1,what footwear does this woman have,woman,1 1 1 1 0 1
2388247.jpg,2,what footwear does this woman have,woman,1 1 1 1 1 1
2407683.jpg,1,what footwear is the woman wearing,woman,1 1 1 1 0 1
2388247.jpg,2,what footwear is the woman wearing,woman,1 1 1 1 1 1
2371973.jpg,1,what footwear is the woman wearing,woman,1 1 1 1 0 1
2388247.jpg,2,what footwear is the woman wearing,woman,1 1 1 1 1 1
2351848.jpg,1,what footwear does this woman have,woman,1 1 1 1 0 1
2388247.jpg,2,what footwear does this woman have,woman,1 1 1 1 1 1
2386968.jpg,1,where is this wall,wall,1 1 1 0
2388247.jpg,2,where is this wall,wall,1 1 1 1
2411365.jpg,1,what street is the woman on,street,1 0 1 1 1 1
2388247.jpg,2,what street is the woman on,street,1 1 1 1 1 1
2364166.jpg,1,where is the woman standing,woman,1 1 1 0 1
2388247.jpg,2,where is the woman standing,woman,1 1 1 1 1
2359709.jpg,1,why is the woman wearing a coat,woman,1 1 1 0 1 1 1
2388247.jpg,2,why is the woman wearing a coat,woman,1 1 1 1 1 1 1
2412207.jpg,1,what is the white and brown pile behind the woman,woman,1 1 1 1 1 1 1 1 1 0
2388247.jpg,2,what is the white and brown pile behind the woman,woman,1 1 1 1 1 1 1 1 1 1
2346140.jpg,1,what is obstructing the top of the hydrant,hydrant,1 1 1 1 1 1 1 0
2409061.jpg,2,what is obstructing the top of the hydrant,hydrant,1 1 1 1 1 1 1 1
2352047.jpg,1,what is partially covering the fire hydrant,hydrant,1 1 1 1 1 1 0
2409061.jpg,2,what is partially covering the fire hydrant,hydrant,1 1 1 1 1 1 1
2347634.jpg,1,what color is the top of the fire hydrant,top,1 1 1 1 0 1 1 1 1
2409061.jpg,2,what color is the top of the fire hydrant,top,1 1 1 1 1 1 1 1 1
2391800.jpg,1,where is the fire hydrant located,hydrant,1 1 1 1 0 1
2409061.jpg,2,where is the fire hydrant located,hydrant,1 1 1 1 1 1
2331407.jpg,1,what is behind the fire hydrant,hydrant,1 1 1 1 1 0
2409061.jpg,2,what is behind the fire hydrant,hydrant,1 1 1 1 1 1
2412143.jpg,1,what color is the fire hydrant,hydrant,1 1 1 1 1 0
2409061.jpg,2,what color is the fire hydrant,hydrant,1 1 1 1 1 1
2329894.jpg,1,what is the color of the hydrant,hydrant,1 1 1 1 1 1 0
2409061.jpg,2,what is the color of the hydrant,hydrant,1 1 1 1 1 1 1
2390964.jpg,1,what color is the right outlet on the hydrant,outlet,1 1 1 1 1 0 1 1 1
2409061.jpg,2,what color is the right outlet on the hydrant,outlet,1 1 1 1 1 1 1 1 1
2410782.jpg,1,where is the hydrant,hydrant,1 1 1 0
2409061.jpg,2,where is the hydrant,hydrant,1 1 1 1
2336963.jpg,1,what color are the leaves,leaves,1 1 1 1 0
2409061.jpg,2,what color are the leaves,leaves,1 1 1 1 1
2409281.jpg,1,what is on the bush with leaves,leaves,1 1 1 1 1 1 0
2409061.jpg,2,what is on the bush with leaves,leaves,1 1 1 1 1 1 1
2409491.jpg,1,what color is the dry grass,grass,1 1 1 1 1 0
2409061.jpg,2,what color is the dry grass,grass,1 1 1 1 1 1
2367206.jpg,1,who is standing on a surfboard,surfboard,1 1 1 1 1 0
2412946.jpg,2,who is standing on a surfboard,surfboard,1 1 1 1 1 1
2385378.jpg,1,what is the water like,water,1 1 1 0 1
2412946.jpg,2,what is the water like,water,1 1 1 1 1
2392525.jpg,1,why is the man wearing a wet suit,suit,1 1 1 1 1 1 1 0
2412946.jpg,2,why is the man wearing a wet suit,suit,1 1 1 1 1 1 1 1
2349721.jpg,1,what is the girl doing,girl,1 1 1 0 1
2412946.jpg,2,what is the girl doing,girl,1 1 1 1 1
2333727.jpg,1,what is the girl doing,girl,1 1 1 0 1
2412946.jpg,2,what is the girl doing,girl,1 1 1 1 1
2336409.jpg,1,what is the water like,water,1 1 1 0 1
2412946.jpg,2,what is the water like,water,1 1 1 1 1
2415823.jpg,1,how is the girl staying on surfboard,girl,1 1 1 0 1 1 1
2412946.jpg,2,how is the girl staying on surfboard,girl,1 1 1 1 1 1 1
2364115.jpg,1,how is the girl dressed,girl,1 1 1 0 1
2412946.jpg,2,how is the girl dressed,girl,1 1 1 1 1
2368884.jpg,1,what color is the suit,suit,1 1 1 1 0
2412946.jpg,2,what color is the suit,suit,1 1 1 1 1
2395594.jpg,1,where is the girl surfing,girl,1 1 1 0 1
2412946.jpg,2,where is the girl surfing,girl,1 1 1 1 1
2408882.jpg,1,what is the woman wearing,woman,1 1 1 0 1
2412946.jpg,2,what is the woman wearing,woman,1 1 1 1 1
2379913.jpg,1,what is behind the woman,woman,1 1 1 1 0
2412946.jpg,2,what is behind the woman,woman,1 1 1 1 1
2400303.jpg,1,what is the surfer doing,surfer,1 1 1 0 1
2412946.jpg,2,what is the surfer doing,surfer,1 1 1 1 1
2355111.jpg,1,where is the surfer looking,surfer,1 1 1 0 1
2412946.jpg,2,where is the surfer looking,surfer,1 1 1 1 1
2374341.jpg,1,what is the surfer doing to stay on top of wave,surfer,1 1 1 0 1 1 1 1 1 1 1
2412946.jpg,2,what is the surfer doing to stay on top of wave,surfer,1 1 1 1 1 1 1 1 1 1 1
2378470.jpg,1,how is the surfer balancing,surfer,1 1 1 0 1
2412946.jpg,2,how is the surfer balancing,surfer,1 1 1 1 1
2392135.jpg,1,what is around the surfer,surfer,1 1 1 1 0
2412946.jpg,2,what is around the surfer,surfer,1 1 1 1 1
2409573.jpg,1,why is the water foamy,water,1 1 1 0 1
2412946.jpg,2,why is the water foamy,water,1 1 1 1 1
2354651.jpg,1,where is the woman,woman,1 1 1 0
2412946.jpg,2,where is the woman,woman,1 1 1 1
2354859.jpg,1,what color is the surfboard,surfboard,1 1 1 1 0
2412946.jpg,2,what color is the surfboard,surfboard,1 1 1 1 1
2397733.jpg,1,what color is the woman's wetsuit,wetsuit,1 1 1 1 1 0
2412946.jpg,2,what color is the woman's wetsuit,wetsuit,1 1 1 1 1 1
2384352.jpg,1,what is the woman wearing,woman,1 1 1 0 1
2412946.jpg,2,what is the woman wearing,woman,1 1 1 1 1
2388893.jpg,1,what is the woman standing on,woman,1 1 1 0 1 1
2412946.jpg,2,what is the woman standing on,woman,1 1 1 1 1 1
2373581.jpg,1,why is the woman's hair wet,hair,1 1 1 1 0 1
2412946.jpg,2,why is the woman's hair wet,hair,1 1 1 1 1 1
2341590.jpg,1,what color is the backing sign,sign,1 1 1 1 1 0
2382403.jpg,2,what color is the backing sign,sign,1 1 1 1 1 1
2396335.jpg,1,why is the sign there,sign,1 1 1 0 1
2382403.jpg,2,why is the sign there,sign,1 1 1 1 1
2412227.jpg,1,what color is the meter,meter,1 1 1 1 0
2382403.jpg,2,what color is the meter,meter,1 1 1 1 1
2353461.jpg,1,what color is the grass,grass,1 1 1 1 0
2392084.jpg,2,what color is the grass,grass,1 1 1 1 1
2330904.jpg,1,who is crouched behind the batter,batter,1 1 1 1 1 0
2392084.jpg,2,who is crouched behind the batter,batter,1 1 1 1 1 1
2370548.jpg,1,what is the batter looking at,batter,1 1 1 0 1 1
2392084.jpg,2,what is the batter looking at,batter,1 1 1 1 1 1
2398615.jpg,1,where are the players,players,1 1 1 0
2392084.jpg,2,where are the players,players,1 1 1 1
2373735.jpg,1,what is the chain link fence made of,fence,1 1 1 1 1 0 1 1
2392084.jpg,2,what is the chain link fence made of,fence,1 1 1 1 1 1 1 1
2381868.jpg,1,what color is the brick in background of photo,photo,1 1 1 1 1 1 1 1 0
2396750.jpg,2,what color is the brick in background of photo,photo,1 1 1 1 1 1 1 1 1
2369612.jpg,1,how was the pizza served,pizza,1 1 1 0 1
2396750.jpg,2,how was the pizza served,pizza,1 1 1 1 1
2411736.jpg,1,what is the pizza sitting on,pizza,1 1 1 0 1 1
2396750.jpg,2,what is the pizza sitting on,pizza,1 1 1 1 1 1
2360552.jpg,1,what style of hair is on the woman's forehead,hair,1 1 1 0 1 1 1 1 1
2396750.jpg,2,what style of hair is on the woman's forehead,hair,1 1 1 1 1 1 1 1 1
2355999.jpg,1,where is the brick wall,wall,1 1 1 1 0
2396750.jpg,2,where is the brick wall,wall,1 1 1 1 1
2357942.jpg,1,what is the wall made of,wall,1 1 1 0 1 1
2396750.jpg,2,what is the wall made of,wall,1 1 1 1 1 1
2369669.jpg,1,who is the main subject of the photo,photo,1 1 1 1 1 1 1 0
2396750.jpg,2,who is the main subject of the photo,photo,1 1 1 1 1 1 1 1
2349222.jpg,1,where is the woman,woman,1 1 1 0
2396750.jpg,2,where is the woman,woman,1 1 1 1
2400990.jpg,1,what is on the pizza,pizza,1 1 1 1 0
2396750.jpg,2,what is on the pizza,pizza,1 1 1 1 1
2413836.jpg,1,what is the gender of the person eating pizza,pizza,1 1 1 1 1 1 1 1 0
2396750.jpg,2,what is the gender of the person eating pizza,pizza,1 1 1 1 1 1 1 1 1
2345578.jpg,1,what is the gender of the person in front of the picture on the wall,wall,1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
2396750.jpg,2,what is the gender of the person in front of the picture on the wall,wall,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1160128.jpg,1,who has blonde hair,hair,1 1 1 0
2396750.jpg,2,who has blonde hair,hair,1 1 1 1
2340952.jpg,1,what is the woman eating,woman,1 1 1 0 1
2396750.jpg,2,what is the woman eating,woman,1 1 1 1 1
2406888.jpg,1,what is the court made of,court,1 1 1 0 1 1
2397164.jpg,2,what is the court made of,court,1 1 1 1 1 1
2319162.jpg,1,why is she holding a racket,racket,1 1 1 1 1 0
2397164.jpg,2,why is she holding a racket,racket,1 1 1 1 1 1
2351099.jpg,1,where is the ball,ball,1 1 1 0
2397164.jpg,2,where is the ball,ball,1 1 1 1
2379499.jpg,1,what is wearing blue jeans,jeans,1 1 1 1 0
2397164.jpg,2,what is wearing blue jeans,jeans,1 1 1 1 1
2365226.jpg,1,what is gripping the tennis racket with both hands,racket,1 1 1 1 1 0 1 1 1
2397164.jpg,2,what is gripping the tennis racket with both hands,racket,1 1 1 1 1 1 1 1 1
2352677.jpg,1,what is hanging over the fence,fence,1 1 1 1 1 0
2397164.jpg,2,what is hanging over the fence,fence,1 1 1 1 1 1
2358286.jpg,1,what has white letters saying bas,letters,1 1 1 0 1 1
2397164.jpg,2,what has white letters saying bas,letters,1 1 1 1 1 1
2357398.jpg,1,what type of court,court,1 1 1 0
2397164.jpg,2,what type of court,court,1 1 1 1
2370443.jpg,1,who is on the court,court,1 1 1 1 0
2397164.jpg,2,who is on the court,court,1 1 1 1 1
2348529.jpg,1,how are the woman's legs,legs,1 1 1 1 0
2397164.jpg,2,how are the woman's legs,legs,1 1 1 1 1
2417367.jpg,1,what is the color of the truck,truck,1 1 1 1 1 1 0
2370289.jpg,2,what is the color of the truck,truck,1 1 1 1 1 1 1
2358887.jpg,1,how many truck,truck,1 1 0
2370289.jpg,2,how many truck,truck,1 1 1
2402551.jpg,1,what is the color of the road,road,1 1 1 1 1 1 0
2370289.jpg,2,what is the color of the road,road,1 1 1 1 1 1 1
2366249.jpg,1,what is the color of the cone,cone,1 1 1 1 1 1 0
2370289.jpg,2,what is the color of the cone,cone,1 1 1 1 1 1 1
2357280.jpg,1,where is the orange and white cone,cone,1 1 1 1 1 1 0
2370289.jpg,2,where is the orange and white cone,cone,1 1 1 1 1 1 1
2410935.jpg,1,what kind of truck is the red and silver one,truck,1 1 1 0 1 1 1 1 1 1
2370289.jpg,2,what kind of truck is the red and silver one,truck,1 1 1 1 1 1 1 1 1 1
2352313.jpg,1,what is on the front of the yellow truck,truck,1 1 1 1 1 1 1 1 0
2370289.jpg,2,what is on the front of the yellow truck,truck,1 1 1 1 1 1 1 1 1
2364341.jpg,1,what is the man doing,man,1 1 1 0 1
2370289.jpg,2,what is the man doing,man,1 1 1 1 1
2407178.jpg,1,where is the ladder,ladder,1 1 1 0
2370289.jpg,2,where is the ladder,ladder,1 1 1 1
2367855.jpg,1,what is on the side of the truck,truck,1 1 1 1 1 1 1 0
2370289.jpg,2,what is on the side of the truck,truck,1 1 1 1 1 1 1 1
2396918.jpg,1,what is in the ground,ground,1 1 1 1 0
2370289.jpg,2,what is in the ground,ground,1 1 1 1 1
2383061.jpg,1,what is next to the green truck,truck,1 1 1 1 1 1 0
2370289.jpg,2,what is next to the green truck,truck,1 1 1 1 1 1 1
2402663.jpg,1,where is the ladder,ladder,1 1 1 0
2370289.jpg,2,where is the ladder,ladder,1 1 1 1
2411151.jpg,1,who is next to the pole,pole,1 1 1 1 1 0
2370289.jpg,2,who is next to the pole,pole,1 1 1 1 1 1
2344600.jpg,1,what is the man doing,man,1 1 1 0 1
2370289.jpg,2,what is the man doing,man,1 1 1 1 1
2369556.jpg,1,how many letters are seen on the airplane,letters,1 1 0 1 1 1 1 1
2378938.jpg,2,how many letters are seen on the airplane,letters,1 1 1 1 1 1 1 1
2367700.jpg,1,what color is the grass,grass,1 1 1 1 0
2378938.jpg,2,what color is the grass,grass,1 1 1 1 1
2322558.jpg,1,what number is on the yellow shirt,shirt,1 1 1 1 1 1 0
2406865.jpg,2,what number is on the yellow shirt,shirt,1 1 1 1 1 1 1
2325950.jpg,1,what color is the frisbee,frisbee,1 1 1 1 0
2406865.jpg,2,what color is the frisbee,frisbee,1 1 1 1 1
2396950.jpg,1,what color are the man's shorts,shorts,1 1 1 1 1 0
2406865.jpg,2,what color are the man's shorts,shorts,1 1 1 1 1 1
150277.jpg,1,what color is the frisbee,frisbee,1 1 1 1 0
2406865.jpg,2,what color is the frisbee,frisbee,1 1 1 1 1
2384842.jpg,1,what color is the guy's tank top,top,1 1 1 1 1 1 0
2406865.jpg,2,what color is the guy's tank top,top,1 1 1 1 1 1 1
2350954.jpg,1,where is the big tree,tree,1 1 1 1 0
2406865.jpg,2,where is the big tree,tree,1 1 1 1 1
2380213.jpg,1,what color is the trash bag,bag,1 1 1 1 1 0
2406865.jpg,2,what color is the trash bag,bag,1 1 1 1 1 1
2388540.jpg,1,how many people are playing frisbee,frisbee,1 1 1 1 1 0
2406865.jpg,2,how many people are playing frisbee,frisbee,1 1 1 1 1 1
2335952.jpg,1,where is the frisbee,frisbee,1 1 1 0
2406865.jpg,2,where is the frisbee,frisbee,1 1 1 1
2417000.jpg,1,what color is the frisbee,frisbee,1 1 1 1 0
2406865.jpg,2,what color is the frisbee,frisbee,1 1 1 1 1
2319571.jpg,1,what color is the ocean,ocean,1 1 1 1 0
2322132.jpg,2,what color is the ocean,ocean,1 1 1 1 1
2406511.jpg,1,how many birds are there in the painting,birds,1 1 0 1 1 1 1 1
2322132.jpg,2,how many birds are there in the painting,birds,1 1 1 1 1 1 1 1
2371210.jpg,1,what color is the skateboard,skateboard,1 1 1 1 0
2326743.jpg,2,what color is the skateboard,skateboard,1 1 1 1 1
2347689.jpg,1,what color is the building,building,1 1 1 1 0
2326743.jpg,2,what color is the building,building,1 1 1 1 1
2384647.jpg,1,what color are the man's pants,pants,1 1 1 1 1 0
2326743.jpg,2,what color are the man's pants,pants,1 1 1 1 1 1
2388923.jpg,1,what is the lady on,lady,1 1 1 0 1
2372657.jpg,2,what is the lady on,lady,1 1 1 1 1
2339695.jpg,1,what is the woman wearing,woman,1 1 1 0 1
2372657.jpg,2,what is the woman wearing,woman,1 1 1 1 1
2332704.jpg,1,what is the ground covered with,ground,1 1 1 0 1 1
2372657.jpg,2,what is the ground covered with,ground,1 1 1 1 1 1
2327542.jpg,1,who is on the bench,bench,1 1 1 1 0
2372657.jpg,2,who is on the bench,bench,1 1 1 1 1
2359533.jpg,1,how is the woman positioned,woman,1 1 1 0 1
2372657.jpg,2,how is the woman positioned,woman,1 1 1 1 1
2353268.jpg,1,who is sitting on the bench,bench,1 1 1 1 1 0
2372657.jpg,2,who is sitting on the bench,bench,1 1 1 1 1 1
2400059.jpg,1,where is the big tree,tree,1 1 1 1 0
2372657.jpg,2,where is the big tree,tree,1 1 1 1 1
2339486.jpg,1,what type of surface is on the ground,ground,1 1 1 1 1 1 1 0
2372657.jpg,2,what type of surface is on the ground,ground,1 1 1 1 1 1 1 1
2385557.jpg,1,who is on the bench,bench,1 1 1 1 0
2372657.jpg,2,who is on the bench,bench,1 1 1 1 1
2318737.jpg,1,what is the expression on the woman,woman,1 1 1 1 1 1 0
2372657.jpg,2,what is the expression on the woman,woman,1 1 1 1 1 1 1
2407983.jpg,1,what is the bench made of,bench,1 1 1 0 1 1
2372657.jpg,2,what is the bench made of,bench,1 1 1 1 1 1
2403305.jpg,1,what is the woman covered up with,woman,1 1 1 0 1 1 1
2372657.jpg,2,what is the woman covered up with,woman,1 1 1 1 1 1 1
2413578.jpg,1,what is the woman wearing to keep warm,woman,1 1 1 0 1 1 1 1
2372657.jpg,2,what is the woman wearing to keep warm,woman,1 1 1 1 1 1 1 1
2367307.jpg,1,what is the woman wearing to keep upper body warm,woman,1 1 1 0 1 1 1 1 1 1
2372657.jpg,2,what is the woman wearing to keep upper body warm,woman,1 1 1 1 1 1 1 1 1 1
2408088.jpg,1,what has the woman wrapped the body with,woman,1 1 1 0 1 1 1 1
2372657.jpg,2,what has the woman wrapped the body with,woman,1 1 1 1 1 1 1 1
2394937.jpg,1,what has the woman used to keep warm,woman,1 1 1 0 1 1 1 1
2372657.jpg,2,what has the woman used to keep warm,woman,1 1 1 1 1 1 1 1
2412011.jpg,1,what warm garment is the woman wearing,woman,1 1 1 1 1 0 1
2372657.jpg,2,what warm garment is the woman wearing,woman,1 1 1 1 1 1 1
2392445.jpg,1,what is the back of the bench made of,back,1 1 1 0 1 1 1 1 1
2372657.jpg,2,what is the back of the bench made of,back,1 1 1 1 1 1 1 1 1
2377633.jpg,1,what is the seat of the bench made of,bench,1 1 1 1 1 1 0 1 1
2372657.jpg,2,what is the seat of the bench made of,bench,1 1 1 1 1 1 1 1 1
2407831.jpg,1,what is the lady posing on,lady,1 1 1 0 1 1
2372657.jpg,2,what is the lady posing on,lady,1 1 1 1 1 1
2366615.jpg,1,what part of the tree is curved,tree,1 1 1 1 0 1 1
2372657.jpg,2,what part of the tree is curved,tree,1 1 1 1 1 1 1
2347049.jpg,1,who has the long black coat on,coat,1 1 1 1 1 0 1
2372657.jpg,2,who has the long black coat on,coat,1 1 1 1 1 1 1
2402370.jpg,1,why are there divots in the sand,sand,1 1 1 1 1 1 0
2372657.jpg,2,why are there divots in the sand,sand,1 1 1 1 1 1 1
2323027.jpg,1,where is the stool,stool,1 1 1 0
2402954.jpg,2,where is the stool,stool,1 1 1 1
2379588.jpg,1,what color is the shirt,shirt,1 1 1 1 0
2402954.jpg,2,what color is the shirt,shirt,1 1 1 1 1
2376449.jpg,1,what color are the boots,boots,1 1 1 1 0
2402954.jpg,2,what color are the boots,boots,1 1 1 1 1
2344485.jpg,1,what type of hair,hair,1 1 1 0
2402954.jpg,2,what type of hair,hair,1 1 1 1
2400822.jpg,1,what pattern is the shirt,shirt,1 1 1 1 0
2402954.jpg,2,what pattern is the shirt,shirt,1 1 1 1 1
2407806.jpg,1,where are the eyes,eyes,1 1 1 0
2402954.jpg,2,where are the eyes,eyes,1 1 1 1
2344373.jpg,1,why is the girl standing on a stool,stool,1 1 1 1 1 1 1 0
2402954.jpg,2,why is the girl standing on a stool,stool,1 1 1 1 1 1 1 1
2396227.jpg,1,how far do the boots extend,boots,1 1 1 1 0 1
2402954.jpg,2,how far do the boots extend,boots,1 1 1 1 1 1
2360807.jpg,1,who is wearing boots,boots,1 1 1 0
2402954.jpg,2,who is wearing boots,boots,1 1 1 1
2401920.jpg,1,who has brown hair,hair,1 1 1 0
2402954.jpg,2,who has brown hair,hair,1 1 1 1
2331434.jpg,1,what is on the ceiling,ceiling,1 1 1 1 0
2406886.jpg,2,what is on the ceiling,ceiling,1 1 1 1 1
2392818.jpg,1,what is the table made of,table,1 1 1 0 1 1
2406886.jpg,2,what is the table made of,table,1 1 1 1 1 1
2333456.jpg,1,what color is the table,table,1 1 1 1 0
2406886.jpg,2,what color is the table,table,1 1 1 1 1
2400879.jpg,1,what is behind the table,table,1 1 1 1 0
2406886.jpg,2,what is behind the table,table,1 1 1 1 1
2364456.jpg,1,what is in front of the couch,couch,1 1 1 1 1 1 0
2406886.jpg,2,what is in front of the couch,couch,1 1 1 1 1 1 1
2378194.jpg,1,what color is the horse,horse,1 1 1 1 0
2376368.jpg,2,what color is the horse,horse,1 1 1 1 1
2394587.jpg,1,how is the person,person,1 1 1 0
2376368.jpg,2,how is the person,person,1 1 1 1
2391496.jpg,1,what is the person sitting on,person,1 1 1 0 1 1
2376368.jpg,2,what is the person sitting on,person,1 1 1 1 1 1
2377514.jpg,1,what is the saddle sitting on,saddle,1 1 1 0 1 1
2376368.jpg,2,what is the saddle sitting on,saddle,1 1 1 1 1 1
2385693.jpg,1,what is in the persons hand,hand,1 1 1 1 1 0
2376368.jpg,2,what is in the persons hand,hand,1 1 1 1 1 1
2394601.jpg,1,where is the persons foot,foot,1 1 1 1 0
2376368.jpg,2,where is the persons foot,foot,1 1 1 1 1
2362897.jpg,1,why is the person sitting on a saddle,saddle,1 1 1 1 1 1 1 0
2376368.jpg,2,why is the person sitting on a saddle,saddle,1 1 1 1 1 1 1 1
2388980.jpg,1,why is there a pad under the saddle,saddle,1 1 1 1 1 1 1 0
2376368.jpg,2,why is there a pad under the saddle,saddle,1 1 1 1 1 1 1 1
