,answer,image_filename,image_id,image_index,image_url,qa_id,question,question_error,question_error_closest_match,question_error_correction,question_error_correction_answer,question_error_new_question,question_is_premise_true
15,A tall tree that is still green.,2396870.jpg,107924,5234,https://cs.stanford.edu/people/rak248/VG_100K/107924.jpg,1391571,What is in the background?,,,,,,
16,During an air show.,2350408.jpg,107924,5234,https://cs.stanford.edu/people/rak248/VG_100K/107924.jpg,643137,When was the photo taken?,,,,,,
17,Over the girl's shoulder.,2388106.jpg,107924,5234,https://cs.stanford.edu/people/rak248/VG_100K/107924.jpg,1412088,Where is the boy looking?,,,,,,
18,The fire hydrant.,2374355.jpg,107993,5303,https://cs.stanford.edu/people/rak248/VG_100K/107993.jpg,1924338,What is red in color?,,,,,,
19,In a gym.,2377095.jpg,107993,5303,https://cs.stanford.edu/people/rak248/VG_100K/107993.jpg,1979327,Where are the two men?,,,,,,
20,Two.,2373472.jpg,107993,5303,https://cs.stanford.edu/people/rak248/VG_100K/107993.jpg,560777,How many kinds of animals can you see?,,,,,,
21,In the car.,2331523.jpg,150349,5401,https://cs.stanford.edu/people/rak248/VG_100K/150349.jpg,274200,Where was this picture taken?,,,,,,
22,Giraffes.,2373615.jpg,150349,5401,https://cs.stanford.edu/people/rak248/VG_100K/150349.jpg,1909616,What has long necks?,,,,,,
23,It is a photo credit.,2371874.jpg,150349,5401,https://cs.stanford.edu/people/rak248/VG_100K/150349.jpg,1872841,Why is there blue lettering?,,,,,,
24,Hair.,2404364.jpg,150467,5518,https://cs.stanford.edu/people/rak248/VG_100K/150467.jpg,1302768,What is on the man's hand?,,,,,,
25,Crackers.,2402354.jpg,150467,5518,https://cs.stanford.edu/people/rak248/VG_100K/150467.jpg,1260765,What are this plastic rolls closest to the edge of the counter?,,,,,,
26,Kitchen.,2386906.jpg,150467,5518,https://cs.stanford.edu/people/rak248/VG_100K/150467.jpg,741898,Where is this picture taken?,,,,,,
27,The giraffe is outside.,2344075.jpg,150476,5527,https://cs.stanford.edu/people/rak248/VG_100K/150476.jpg,520318,Where is the giraffe located?,,,,,,
28,On the street.,2366939.jpg,150476,5527,https://cs.stanford.edu/people/rak248/VG_100K/150476.jpg,1771556,Where is the car?,,,,,,
29,Woman in pink.,2404153.jpg,150476,5527,https://cs.stanford.edu/people/rak248/VG_100K/150476.jpg,1297641,Who has a black bob?,,,,,,
30,At the camera.,2400415.jpg,286007,6013,https://cs.stanford.edu/people/rak248/VG_100K/286007.jpg,1221284,Where is the elephant looking?,,,,,,
31,Eight.,2360269.jpg,286007,6013,https://cs.stanford.edu/people/rak248/VG_100K/286007.jpg,635237,How many people are in the picture?,,,,,,
32,Two.,2415851.jpg,286007,6013,https://cs.stanford.edu/people/rak248/VG_100K/286007.jpg,937961,How many light switches are shown?,,,,,,
33,Green.,2408643.jpg,286036,6042,https://cs.stanford.edu/people/rak248/VG_100K/286036.jpg,1064432,What color are signs?,,,,,,
34,Red.,2404671.jpg,286036,6042,https://cs.stanford.edu/people/rak248/VG_100K/286036.jpg,1310269,What lights are lit up on the traffic lights?,,,,,,
35,Clear.,2411255.jpg,286036,6042,https://cs.stanford.edu/people/rak248/VG_100K/286036.jpg,1325811,What type of weather is shown?,,,,,,
36,Potatoes.,2360874.jpg,498262,6458,https://cs.stanford.edu/people/rak248/VG_100K/498262.jpg,1650808,What is below bananas?,,,,,,
37,Towel rack.,2407489.jpg,498262,6458,https://cs.stanford.edu/people/rak248/VG_100K/498262.jpg,1207895,What is silver?,,,,,,
38,On the bike.,2372882.jpg,498262,6458,https://cs.stanford.edu/people/rak248/VG_100K/498262.jpg,1894548,Where is the tire?,,,,,,
39,A kitchen.,2406125.jpg,2415056,10109,https://cs.stanford.edu/people/rak248/VG_100K_2/2415056.jpg,1176320,What room is this?,,,,,,
40,A white uniform.,2370887.jpg,2415056,10109,https://cs.stanford.edu/people/rak248/VG_100K_2/2415056.jpg,1851983,What is the player wearing?,,,,,,
41,River.,2363907.jpg,2415056,10109,https://cs.stanford.edu/people/rak248/VG_100K_2/2415056.jpg,1711034,What is flowing by the rocks?,,,,,,
42,White.,2417917.jpg,2415038,10112,https://cs.stanford.edu/people/rak248/VG_100K_2/2415038.jpg,954484,What color is the toilet?,,,,,,
43,A dog.,2375783.jpg,2415038,10112,https://cs.stanford.edu/people/rak248/VG_100K_2/2415038.jpg,1952858,What does the couple wearing blue shirts have with them?,,,,,,
44,Black.,2406999.jpg,2415038,10112,https://cs.stanford.edu/people/rak248/VG_100K_2/2415038.jpg,1197145,What color is the dog's vest?,,,,,,
45,In Grass.,2408116.jpg,2414625,10206,https://cs.stanford.edu/people/rak248/VG_100K_2/2414625.jpg,191461,Where are the elephants standing?,,,,,,
46,Green.,150432.jpg,2414625,10206,https://cs.stanford.edu/people/rak248/VG_100K_2/2414625.jpg,1003884,What color is the traffic light?,,,,,,
47,Nothing.,2412614.jpg,2414625,10206,https://cs.stanford.edu/people/rak248/VG_100K_2/2414625.jpg,1128790,What is on the woman's feet?,,,,,,
48,Flames.,2410567.jpg,2414618,10211,https://cs.stanford.edu/people/rak248/VG_100K_2/2414618.jpg,1105408,What symbols are on the plane?,,,,,,
49,Black.,2403425.jpg,2414618,10211,https://cs.stanford.edu/people/rak248/VG_100K_2/2414618.jpg,1282579,What is the main color of the number 0?,,,,,,
50,A man.,2387077.jpg,2414618,10211,https://cs.stanford.edu/people/rak248/VG_100K_2/2414618.jpg,421866,Who is in the picture?,,,,,,
51,Blue and black gloves.,2411663.jpg,2413771,10415,https://cs.stanford.edu/people/rak248/VG_100K_2/2413771.jpg,1334414,What is on the skier's hands?,,,,,,
52,Daytime.,2377328.jpg,2413771,10415,https://cs.stanford.edu/people/rak248/VG_100K_2/2413771.jpg,621600,When was the picture taken?,,,,,,
53,Zero.,2361341.jpg,2413771,10415,https://cs.stanford.edu/people/rak248/VG_100K_2/2413771.jpg,1660009,What is the number of zebras pictured?,,,,,,
54,A paper plate.,2375626.jpg,2413729,10416,https://cs.stanford.edu/people/rak248/VG_100K_2/2413729.jpg,1949622,What type of plate is it?,,,,,,
55,Sidewalk.,2361465.jpg,2413729,10416,https://cs.stanford.edu/people/rak248/VG_100K_2/2413729.jpg,1662429,What are the bags sitting on?,,,,,,
56,In the vase.,2405282.jpg,2413729,10416,https://cs.stanford.edu/people/rak248/VG_100K_2/2413729.jpg,1156980,Where are the purple flowers?,,,,,,
57,On a wooden table.,2358820.jpg,2413318,10511,https://cs.stanford.edu/people/rak248/VG_100K_2/2413318.jpg,1609200,Where is the white ceramic plate?,,,,,,
58,A skull and two vases.,2362441.jpg,2413318,10511,https://cs.stanford.edu/people/rak248/VG_100K_2/2413318.jpg,313688,What is on the table?,,,,,,
59,Five.,2329211.jpg,2413318,10511,https://cs.stanford.edu/people/rak248/VG_100K_2/2413318.jpg,724057,How many people are in this picture?,,,,,,
60,Closest to the camera.,2358997.jpg,2413195,10537,https://cs.stanford.edu/people/rak248/VG_100K_2/2413195.jpg,1612983,Where is the black dog in relation to the others?,,,,,,
61,In front of the woman.,2368566.jpg,2413195,10537,https://cs.stanford.edu/people/rak248/VG_100K_2/2413195.jpg,1805427,Where is the man?,,,,,,
62,Day time.,2380251.jpg,2413195,10537,https://cs.stanford.edu/people/rak248/VG_100K_2/2413195.jpg,683241,When was this picture?,,,,,,
63,On the lamp.,2394262.jpg,2412706,10635,https://cs.stanford.edu/people/rak248/VG_100K_2/2412706.jpg,1442312,Where are the roses?,,,,,,
64,Brown.,2398268.jpg,2412706,10635,https://cs.stanford.edu/people/rak248/VG_100K_2/2412706.jpg,604852,What is the color of the court surface?,,,,,,
65,2.,2405292.jpg,2412706,10635,https://cs.stanford.edu/people/rak248/VG_100K_2/2412706.jpg,1157155,How many zebras are there?,,,,,,
66,Outdoor eatery.,2373725.jpg,2412522,10681,https://cs.stanford.edu/people/rak248/VG_100K_2/2412522.jpg,816435,Where is this scene?,,,,,,
67,Yellow.,150467.jpg,2412522,10681,https://cs.stanford.edu/people/rak248/VG_100K_2/2412522.jpg,1004885,What color are the street lights?,,,,,,
68,The black engine.,2368864.jpg,2412522,10681,https://cs.stanford.edu/people/rak248/VG_100K_2/2412522.jpg,1811500,What keeps the train going?,,,,,,
69,The lighting.,2367484.jpg,2412264,10732,https://cs.stanford.edu/people/rak248/VG_100K_2/2412264.jpg,821438,Why is it bright?,,,,,,
70,In the right hand.,2360382.jpg,2412264,10732,https://cs.stanford.edu/people/rak248/VG_100K_2/2412264.jpg,1640614,Where is the riding crop?,,,,,,
71,Pink.,2351960.jpg,2412264,10732,https://cs.stanford.edu/people/rak248/VG_100K_2/2412264.jpg,322083,What color is the wall?,,,,,,
72,Planes.,2393213.jpg,2411638,10888,https://cs.stanford.edu/people/rak248/VG_100K_2/2411638.jpg,1372471,What objects are in the air?,,,,,,
73,On edge of plate under vegetable and meat.,2359527.jpg,2411638,10888,https://cs.stanford.edu/people/rak248/VG_100K_2/2411638.jpg,1623137,Where are the noodles?,,,,,,
74,Neck.,2328916.jpg,2411638,10888,https://cs.stanford.edu/people/rak248/VG_100K_2/2411638.jpg,471458,Where is the collar?,,,,,,
75,A towel.,2398819.jpg,2411510,10908,https://cs.stanford.edu/people/rak248/VG_100K_2/2411510.jpg,348572,What is the person holding in their hand?,,,,,,
76,The man.,2371407.jpg,2411510,10908,https://cs.stanford.edu/people/rak248/VG_100K_2/2411510.jpg,1862964,Who is wearing white pants?,,,,,,
77,Blue.,2383377.jpg,2411510,10908,https://cs.stanford.edu/people/rak248/VG_100K_2/2411510.jpg,424825,What color is the sky?,,,,,,
78,One.,2413112.jpg,2411422,10985,https://cs.stanford.edu/people/rak248/VG_100K_2/2411422.jpg,151495,How many beds are in the room?,,,,,,
79,Metal.,2367288.jpg,2411422,10985,https://cs.stanford.edu/people/rak248/VG_100K_2/2411422.jpg,1778103,What are the signs made of?,,,,,,
80,Grass.,2367948.jpg,2411422,10985,https://cs.stanford.edu/people/rak248/VG_100K_2/2411422.jpg,1792027,What are the cows standing on?,,,,,,
81,The cheese cutter.,2389620.jpg,2411363,11042,https://cs.stanford.edu/people/rak248/VG_100K_2/2411363.jpg,1544147,What is on the tray?,,,,,,
82,Daytime.,2411925.jpg,2411363,11042,https://cs.stanford.edu/people/rak248/VG_100K_2/2411363.jpg,160988,When was the photo taken?,,,,,,
83,Behind the couch.,2360132.jpg,2411363,11042,https://cs.stanford.edu/people/rak248/VG_100K_2/2411363.jpg,1635475,Where is the curtain?,,,,,,
84,In the cabinets.,2402037.jpg,2411315,11086,https://cs.stanford.edu/people/rak248/VG_100K_2/2411315.jpg,1254783,Where is the microwave?,,,,,,
85,Laying down.,2390745.jpg,2411315,11086,https://cs.stanford.edu/people/rak248/VG_100K_2/2411315.jpg,1359432,What position is the dog in?,,,,,,
86,To the left.,2387803.jpg,2411315,11086,https://cs.stanford.edu/people/rak248/VG_100K_2/2411315.jpg,1410578,What direction is the horse heading?,,,,,,
87,After they have reached the sidewalk.,2416981.jpg,2411274,11121,https://cs.stanford.edu/people/rak248/VG_100K_2/2411274.jpg,946996,When will the people get out of the street?,,,,,,
88,The ground.,2405223.jpg,2411274,11121,https://cs.stanford.edu/people/rak248/VG_100K_2/2411274.jpg,214605,Where was this picture taken from?,,,,,,
89,Black.,2412228.jpg,2411274,11121,https://cs.stanford.edu/people/rak248/VG_100K_2/2411274.jpg,1120134,What color is the tire?,,,,,,
90,During the day.,2407053.jpg,2411252,11141,https://cs.stanford.edu/people/rak248/VG_100K_2/2411252.jpg,199962,When was the picture taken?,,,,,,
91,Glasses.,2405357.jpg,2411252,11141,https://cs.stanford.edu/people/rak248/VG_100K_2/2411252.jpg,1158545,What is on the man's face?,,,,,,
92,In the daytime.,2389855.jpg,2411252,11141,https://cs.stanford.edu/people/rak248/VG_100K_2/2411252.jpg,483694,When was the picture taken?,,,,,,
93,Traffic lights.,2388363.jpg,2411227,11165,https://cs.stanford.edu/people/rak248/VG_100K_2/2411227.jpg,1346515,What is hanging on the cables?,,,,,,
94,Daytime.,2326041.jpg,2411227,11165,https://cs.stanford.edu/people/rak248/VG_100K_2/2411227.jpg,342796,When is the picture taken?,,,,,,
95,In front of the adult.,2339449.jpg,2411227,11165,https://cs.stanford.edu/people/rak248/VG_100K_2/2411227.jpg,651881,Where is the child sitting?,,,,,,
96,Wood.,2387497.jpg,2411023,11363,https://cs.stanford.edu/people/rak248/VG_100K_2/2411023.jpg,421532,What is the chair made of?,,,,,,
97,The birds are brown and yellow.,2417249.jpg,2411023,11363,https://cs.stanford.edu/people/rak248/VG_100K_2/2411023.jpg,949139,What color are the birds?,,,,,,
98,Food.,2373719.jpg,2411023,11363,https://cs.stanford.edu/people/rak248/VG_100K_2/2411023.jpg,1911763,What is wrapped in plastic?,,,,,,
99,Fan.,2388077.jpg,2411012,11374,https://cs.stanford.edu/people/rak248/VG_100K_2/2411012.jpg,1474510,What is on the ceiling above the window?,,,,,,
100,Tongue.,2358218.jpg,2411012,11374,https://cs.stanford.edu/people/rak248/VG_100K_2/2411012.jpg,1596229,What is sticking out of the cat's mouth?,,,,,,
101,Rough.,2397993.jpg,2411012,11374,https://cs.stanford.edu/people/rak248/VG_100K_2/2411012.jpg,1589025,How are the waves?,,,,,,
102,An afro hairdo on the woman.,2360395.jpg,2411009,11377,https://cs.stanford.edu/people/rak248/VG_100K_2/2411009.jpg,1640899,What is short and brown on the head of object?,,,,,,
103,2.,2402075.jpg,2411009,11377,https://cs.stanford.edu/people/rak248/VG_100K_2/2411009.jpg,958051,How many animals do you see?,,,,,,
104,Drawers.,2377493.jpg,2411009,11377,https://cs.stanford.edu/people/rak248/VG_100K_2/2411009.jpg,1985828,What is made of wood?,,,,,,
105,1.,2329873.jpg,2410923,11460,https://cs.stanford.edu/people/rak248/VG_100K_2/2410923.jpg,595580,How many people do you see?,,,,,,
106,A man.,2363198.jpg,2410923,11460,https://cs.stanford.edu/people/rak248/VG_100K_2/2410923.jpg,1696405,Who is wearing all black?,,,,,,
107,Beach.,2341379.jpg,2410923,11460,https://cs.stanford.edu/people/rak248/VG_100K_2/2410923.jpg,394523,Where is this location?,,,,,,
108,Blue.,2324179.jpg,2410871,11512,https://cs.stanford.edu/people/rak248/VG_100K_2/2410871.jpg,862919,What color is the sky?,,,,,,
109,Metal.,2373495.jpg,2410871,11512,https://cs.stanford.edu/people/rak248/VG_100K_2/2410871.jpg,1906997,What is the fence made of?,,,,,,
110,A horse.,2395757.jpg,2410871,11512,https://cs.stanford.edu/people/rak248/VG_100K_2/2410871.jpg,1449771,What is the woman riding on?,,,,,,
111,White.,2320229.jpg,2410864,11518,https://cs.stanford.edu/people/rak248/VG_100K_2/2410864.jpg,894520,What type of cake is that?,,,,,,
112,Grazing.,2364936.jpg,2410864,11518,https://cs.stanford.edu/people/rak248/VG_100K_2/2410864.jpg,1731656,What are the sheep doing?,,,,,,
113,Four.,2407303.jpg,2410864,11518,https://cs.stanford.edu/people/rak248/VG_100K_2/2410864.jpg,1203704,How many carrots are pictured?,,,,,,
114,Next to the bag.,2361532.jpg,2410855,11527,https://cs.stanford.edu/people/rak248/VG_100K_2/2410855.jpg,1663736,Where is the suitcase?,,,,,,
115,White.,107966.jpg,2410855,11527,https://cs.stanford.edu/people/rak248/VG_100K_2/2410855.jpg,996511,What is the color of the dishwasher?,,,,,,
116,One.,2406222.jpg,2410855,11527,https://cs.stanford.edu/people/rak248/VG_100K_2/2410855.jpg,1178894,How many airplanes are in the sky?,,,,,,
117,Hurley.,2392171.jpg,2410852,11530,https://cs.stanford.edu/people/rak248/VG_100K_2/2410852.jpg,1558086,What does the tent say?,,,,,,
118,In the day time.,2326152.jpg,2410852,11530,https://cs.stanford.edu/people/rak248/VG_100K_2/2410852.jpg,598554,When was the picture taken?,,,,,,
119,A baking tray.,2374947.jpg,2410852,11530,https://cs.stanford.edu/people/rak248/VG_100K_2/2410852.jpg,751460,What is the pizza sitting on?,,,,,,
120,Leaves.,2416561.jpg,2410756,11622,https://cs.stanford.edu/people/rak248/VG_100K_2/2410756.jpg,943636,What are the green items?,,,,,,
121,Black.,2387580.jpg,2410756,11622,https://cs.stanford.edu/people/rak248/VG_100K_2/2410756.jpg,292129,What color is the train?,,,,,,
122,White.,2409795.jpg,2410756,11622,https://cs.stanford.edu/people/rak248/VG_100K_2/2410756.jpg,1089858,What color is the table?,,,,,,
123,Gray and white.,2410248.jpg,2410592,11780,https://cs.stanford.edu/people/rak248/VG_100K_2/2410592.jpg,1099621,What color are the clouds?,,,,,,
124,In a bedroom.,2368764.jpg,2410592,11780,https://cs.stanford.edu/people/rak248/VG_100K_2/2410592.jpg,1809406,Where does the scene take place?,,,,,,
125,Fence.,2406074.jpg,2410592,11780,https://cs.stanford.edu/people/rak248/VG_100K_2/2410592.jpg,1175177,What is around the court?,,,,,,
126,The clouds.,2408677.jpg,2410428,11934,https://cs.stanford.edu/people/rak248/VG_100K_2/2410428.jpg,1065257,What is making the snow dark?,,,,,,
127,To show the skyline.,2324904.jpg,2410428,11934,https://cs.stanford.edu/people/rak248/VG_100K_2/2410428.jpg,857121,Why was this picture taken?,,,,,,
128,A brown horse.,2374273.jpg,2410428,11934,https://cs.stanford.edu/people/rak248/VG_100K_2/2410428.jpg,1922708,What is grazing in the field?,,,,,,
129,Cloud.,2399495.jpg,2410400,11960,https://cs.stanford.edu/people/rak248/VG_100K_2/2410400.jpg,1406057,What is in the blue sky?,,,,,,
130,Umbrellas.,2365209.jpg,2410400,11960,https://cs.stanford.edu/people/rak248/VG_100K_2/2410400.jpg,631284,What are the people holding over their head?,,,,,,
131,Smiling.,2396075.jpg,2410400,11960,https://cs.stanford.edu/people/rak248/VG_100K_2/2410400.jpg,1514222,What are the people doing?,,,,,,
132,A baker.,2318189.jpg,2410395,11964,https://cs.stanford.edu/people/rak248/VG_100K_2/2410395.jpg,910837,Who made these pastries?,,,,,,
133,White.,2400155.jpg,2410395,11964,https://cs.stanford.edu/people/rak248/VG_100K_2/2410395.jpg,1215537,What's the solid color in the middle of the plate?,,,,,,
134,Pepperoni.,2347988.jpg,2410395,11964,https://cs.stanford.edu/people/rak248/VG_100K_2/2410395.jpg,645069,What is on the pizza?,,,,,,
135,3.,2412467.jpg,2410388,11969,https://cs.stanford.edu/people/rak248/VG_100K_2/2410388.jpg,1125454,How many cars are there?,,,,,,
136,Maybe a motorist.,2394462.jpg,2410388,11969,https://cs.stanford.edu/people/rak248/VG_100K_2/2410388.jpg,1378769,Who took this photo?,,,,,,
137,It is cloudy.,2391023.jpg,2410388,11969,https://cs.stanford.edu/people/rak248/VG_100K_2/2410388.jpg,226824,Why is it gray outside?,,,,,,
138,Grass.,2368951.jpg,2410299,12057,https://cs.stanford.edu/people/rak248/VG_100K_2/2410299.jpg,1813372,What substance are the majority of the giraffes standing on?,,,,,,
139,Meredith Nutting.,2399285.jpg,2410299,12057,https://cs.stanford.edu/people/rak248/VG_100K_2/2410299.jpg,1529325,Who took the photo?,,,,,,
140,A wall.,2403500.jpg,2410299,12057,https://cs.stanford.edu/people/rak248/VG_100K_2/2410299.jpg,1284130,What barrier is between the crowd and the field?,,,,,,
141,Brown.,2372353.jpg,2410270,12085,https://cs.stanford.edu/people/rak248/VG_100K_2/2410270.jpg,1882910,What is the mountain colo?,,,,,,
142,Blue jacket.,2405761.jpg,2410270,12085,https://cs.stanford.edu/people/rak248/VG_100K_2/2410270.jpg,210299,What is the woman wearing?,,,,,,
143,Black.,2327445.jpg,2410270,12085,https://cs.stanford.edu/people/rak248/VG_100K_2/2410270.jpg,853462,What color is the street?,,,,,,
144,Afternoon.,2389159.jpg,2410269,12087,https://cs.stanford.edu/people/rak248/VG_100K_2/2410269.jpg,1478811,What time is it?,,,,,,
145,Plush dog.,2387539.jpg,2410269,12087,https://cs.stanford.edu/people/rak248/VG_100K_2/2410269.jpg,1533182,What is the puppy laying against?,,,,,,
146,Black.,2359068.jpg,2410269,12087,https://cs.stanford.edu/people/rak248/VG_100K_2/2410269.jpg,636204,What color is the keyboard?,,,,,,
147,On the ground.,2392145.jpg,2410258,12097,https://cs.stanford.edu/people/rak248/VG_100K_2/2410258.jpg,1432933,Where is the right shoe?,,,,,,
148,White.,2415563.jpg,2410258,12097,https://cs.stanford.edu/people/rak248/VG_100K_2/2410258.jpg,935655,What color is the sky?,,,,,,
149,Jeans.,2367434.jpg,2410258,12097,https://cs.stanford.edu/people/rak248/VG_100K_2/2410258.jpg,1781055,What type of pants is the man on the couch wearing?,,,,,,
150,Fluffy clouds.,2362174.jpg,2410184,12168,https://cs.stanford.edu/people/rak248/VG_100K_2/2410184.jpg,1676001,What is in the sky?,,,,,,
151,A maple leaf.,2326939.jpg,2410184,12168,https://cs.stanford.edu/people/rak248/VG_100K_2/2410184.jpg,406076,What is on the tail of the plane?,,,,,,
152,Black and white bird.,2365685.jpg,2410184,12168,https://cs.stanford.edu/people/rak248/VG_100K_2/2410184.jpg,1746794,What animal is in the grass?,,,,,,
153,Square.,2368838.jpg,2410176,12176,https://cs.stanford.edu/people/rak248/VG_100K_2/2410176.jpg,1810929,What shape is the dinner plate?,,,,,,
154,Snow.,2388794.jpg,2410176,12176,https://cs.stanford.edu/people/rak248/VG_100K_2/2410176.jpg,1348546,What is the family standing on?,,,,,,
155,Extremely bright headlights.,150352.jpg,2410176,12176,https://cs.stanford.edu/people/rak248/VG_100K_2/2410176.jpg,1020646,What do the series of cars have?,,,,,,
156,Black backpack.,2413001.jpg,2410163,12187,https://cs.stanford.edu/people/rak248/VG_100K_2/2410163.jpg,1138225,What is on the ground next to the man?,,,,,,
157,In a field.,2359687.jpg,2410163,12187,https://cs.stanford.edu/people/rak248/VG_100K_2/2410163.jpg,1626191,Where is the white and black cow?,,,,,,
158,Blanket.,2399960.jpg,2410163,12187,https://cs.stanford.edu/people/rak248/VG_100K_2/2410163.jpg,283079,What covers the foot of the bed?,,,,,,
159,Ketchup.,2405742.jpg,2409991,12354,https://cs.stanford.edu/people/rak248/VG_100K_2/2409991.jpg,1168358,What condiment is on the hot dog?,,,,,,
160,On a plate.,2388975.jpg,2409991,12354,https://cs.stanford.edu/people/rak248/VG_100K_2/2409991.jpg,1416059,Where are sandwiches?,,,,,,
161,Grey.,2399147.jpg,2409991,12354,https://cs.stanford.edu/people/rak248/VG_100K_2/2409991.jpg,1528718,What shade of color are the shutters on the buildings?,,,,,,
162,Lake.,2360995.jpg,2409838,12501,https://cs.stanford.edu/people/rak248/VG_100K_2/2409838.jpg,1653323,What body of water?,,,,,,
163,Brown.,2413287.jpg,2409838,12501,https://cs.stanford.edu/people/rak248/VG_100K_2/2409838.jpg,1145010,What color are the steps?,,,,,,
164,Cloud.,2359704.jpg,2409838,12501,https://cs.stanford.edu/people/rak248/VG_100K_2/2409838.jpg,1626475,What is the white object?,,,,,,
165,Brown.,2415169.jpg,2409804,12532,https://cs.stanford.edu/people/rak248/VG_100K_2/2409804.jpg,1038786,What is the color of the sofa?,,,,,,
166,Black and brown.,2408536.jpg,2409804,12532,https://cs.stanford.edu/people/rak248/VG_100K_2/2409804.jpg,1062148,What colors are speckled on the green ceramic?,,,,,,
167,Green.,2354242.jpg,2409804,12532,https://cs.stanford.edu/people/rak248/VG_100K_2/2409804.jpg,256225,What color are the leaves on the trees?,,,,,,
168,White.,2394367.jpg,2409792,12544,https://cs.stanford.edu/people/rak248/VG_100K_2/2409792.jpg,1378196,What is the shower curtain color?,,,,,,
169,Wires.,2407921.jpg,2409792,12544,https://cs.stanford.edu/people/rak248/VG_100K_2/2409792.jpg,193023,What are the traffic lights hanging on?,,,,,,
170,With both hands.,2376161.jpg,2409792,12544,https://cs.stanford.edu/people/rak248/VG_100K_2/2409792.jpg,1960874,How is the player holding the racket?,,,,,,
171,Skateboard tricks.,2396560.jpg,2409781,12555,https://cs.stanford.edu/people/rak248/VG_100K_2/2409781.jpg,1453299,What is the person doing?,,,,,,
172,In the stove.,2365121.jpg,2409781,12555,https://cs.stanford.edu/people/rak248/VG_100K_2/2409781.jpg,1735261,Where is the baking cake pan?,,,,,,
173,Around the remote.,2410520.jpg,2409781,12555,https://cs.stanford.edu/people/rak248/VG_100K_2/2409781.jpg,1104747,Where are the fingers?,,,,,,
174,Skateboarding.,2412497.jpg,2409754,12580,https://cs.stanford.edu/people/rak248/VG_100K_2/2409754.jpg,1126052,What is the person doing in the picture?,,,,,,
175,Concrete.,2340627.jpg,2409754,12580,https://cs.stanford.edu/people/rak248/VG_100K_2/2409754.jpg,778921,What is the dog standing on?,,,,,,
176,Grey.,2317749.jpg,2409754,12580,https://cs.stanford.edu/people/rak248/VG_100K_2/2409754.jpg,914358,What color is the sky?,,,,,,
177,Brown.,2368978.jpg,2409702,12632,https://cs.stanford.edu/people/rak248/VG_100K_2/2409702.jpg,1813943,What is the pants color?,,,,,,
178,A sign.,2361679.jpg,2409702,12632,https://cs.stanford.edu/people/rak248/VG_100K_2/2409702.jpg,1666438,What is on top of the first sign?,,,,,,
