,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,answer,image_filename,image_id,image_index,image_url,qa_id,question,question_error,question_error_closest_match,question_error_correction,question_error_correction_answer,question_error_new_question,question_is_premise_true
68,68,68,65,65,65,2.,2405292.jpg,2412706,10635,https://cs.stanford.edu/people/rak248/VG_100K_2/2412706.jpg,1157155,How many zebras are there?,,,,,,
69,69,69,66,66,66,Outdoor eatery.,2373725.jpg,2412522,10681,https://cs.stanford.edu/people/rak248/VG_100K_2/2412522.jpg,816435,Where is this scene?,,,,,,
70,70,70,67,67,67,Yellow.,150467.jpg,2412522,10681,https://cs.stanford.edu/people/rak248/VG_100K_2/2412522.jpg,1004885,What color are the street lights?,,,,,,
71,71,71,68,68,68,The black engine.,2368864.jpg,2412522,10681,https://cs.stanford.edu/people/rak248/VG_100K_2/2412522.jpg,1811500,What keeps the train going?,,,,,,
72,72,72,69,69,69,The lighting.,2367484.jpg,2412264,10732,https://cs.stanford.edu/people/rak248/VG_100K_2/2412264.jpg,821438,Why is it bright?,,,,,,
73,73,73,70,70,70,In the right hand.,2360382.jpg,2412264,10732,https://cs.stanford.edu/people/rak248/VG_100K_2/2412264.jpg,1640614,Where is the riding crop?,,,,,,
74,74,74,71,71,71,Pink.,2351960.jpg,2412264,10732,https://cs.stanford.edu/people/rak248/VG_100K_2/2412264.jpg,322083,What color is the wall?,,,,,,
75,75,75,72,72,72,Planes.,2393213.jpg,2411638,10888,https://cs.stanford.edu/people/rak248/VG_100K_2/2411638.jpg,1372471,What objects are in the air?,,,,,,
76,76,76,73,73,73,On edge of plate under vegetable and meat.,2359527.jpg,2411638,10888,https://cs.stanford.edu/people/rak248/VG_100K_2/2411638.jpg,1623137,Where are the noodles?,,,,,,
77,77,77,74,74,74,Neck.,2328916.jpg,2411638,10888,https://cs.stanford.edu/people/rak248/VG_100K_2/2411638.jpg,471458,Where is the collar?,,,,,,
78,78,78,75,75,75,A towel.,2398819.jpg,2411510,10908,https://cs.stanford.edu/people/rak248/VG_100K_2/2411510.jpg,348572,What is the person holding in their hand?,,,,,,
79,79,79,76,76,76,The man.,2371407.jpg,2411510,10908,https://cs.stanford.edu/people/rak248/VG_100K_2/2411510.jpg,1862964,Who is wearing white pants?,,,,,,
80,80,80,77,77,77,Blue.,2383377.jpg,2411510,10908,https://cs.stanford.edu/people/rak248/VG_100K_2/2411510.jpg,424825,What color is the sky?,,,,,,
81,81,81,78,78,78,One.,2413112.jpg,2411422,10985,https://cs.stanford.edu/people/rak248/VG_100K_2/2411422.jpg,151495,How many beds are in the room?,,,,,,
82,82,82,79,79,79,Metal.,2367288.jpg,2411422,10985,https://cs.stanford.edu/people/rak248/VG_100K_2/2411422.jpg,1778103,What are the signs made of?,,,,,,
83,83,83,80,80,80,Grass.,2367948.jpg,2411422,10985,https://cs.stanford.edu/people/rak248/VG_100K_2/2411422.jpg,1792027,What are the cows standing on?,,,,,,
84,84,84,81,81,81,The cheese cutter.,2389620.jpg,2411363,11042,https://cs.stanford.edu/people/rak248/VG_100K_2/2411363.jpg,1544147,What is on the tray?,,,,,,
85,85,85,82,82,82,Daytime.,2411925.jpg,2411363,11042,https://cs.stanford.edu/people/rak248/VG_100K_2/2411363.jpg,160988,When was the photo taken?,,,,,,
86,86,86,83,83,83,Behind the couch.,2360132.jpg,2411363,11042,https://cs.stanford.edu/people/rak248/VG_100K_2/2411363.jpg,1635475,Where is the curtain?,,,,,,
87,87,87,84,84,84,In the cabinets.,2402037.jpg,2411315,11086,https://cs.stanford.edu/people/rak248/VG_100K_2/2411315.jpg,1254783,Where is the microwave?,,,,,,
88,88,88,85,85,85,Laying down.,2390745.jpg,2411315,11086,https://cs.stanford.edu/people/rak248/VG_100K_2/2411315.jpg,1359432,What position is the dog in?,,,,,,
89,89,89,86,86,86,To the left.,2387803.jpg,2411315,11086,https://cs.stanford.edu/people/rak248/VG_100K_2/2411315.jpg,1410578,What direction is the horse heading?,,,,,,
90,90,90,87,87,87,After they have reached the sidewalk.,2416981.jpg,2411274,11121,https://cs.stanford.edu/people/rak248/VG_100K_2/2411274.jpg,946996,When will the people get out of the street?,,,,,,
91,91,91,88,88,88,The ground.,2405223.jpg,2411274,11121,https://cs.stanford.edu/people/rak248/VG_100K_2/2411274.jpg,214605,Where was this picture taken from?,,,,,,
92,92,92,89,89,89,Black.,2412228.jpg,2411274,11121,https://cs.stanford.edu/people/rak248/VG_100K_2/2411274.jpg,1120134,What color is the tire?,,,,,,
93,93,93,90,90,90,During the day.,2407053.jpg,2411252,11141,https://cs.stanford.edu/people/rak248/VG_100K_2/2411252.jpg,199962,When was the picture taken?,,,,,,
94,94,94,91,91,91,Glasses.,2405357.jpg,2411252,11141,https://cs.stanford.edu/people/rak248/VG_100K_2/2411252.jpg,1158545,What is on the man's face?,,,,,,
95,95,95,92,92,92,In the daytime.,2389855.jpg,2411252,11141,https://cs.stanford.edu/people/rak248/VG_100K_2/2411252.jpg,483694,When was the picture taken?,,,,,,
96,96,96,93,93,93,Traffic lights.,2388363.jpg,2411227,11165,https://cs.stanford.edu/people/rak248/VG_100K_2/2411227.jpg,1346515,What is hanging on the cables?,,,,,,
97,97,97,94,94,94,Daytime.,2326041.jpg,2411227,11165,https://cs.stanford.edu/people/rak248/VG_100K_2/2411227.jpg,342796,When is the picture taken?,,,,,,
98,98,98,95,95,95,In front of the adult.,2339449.jpg,2411227,11165,https://cs.stanford.edu/people/rak248/VG_100K_2/2411227.jpg,651881,Where is the child sitting?,,,,,,
99,99,99,96,96,96,Wood.,2387497.jpg,2411023,11363,https://cs.stanford.edu/people/rak248/VG_100K_2/2411023.jpg,421532,What is the chair made of?,,,,,,
100,100,100,97,97,97,The birds are brown and yellow.,2417249.jpg,2411023,11363,https://cs.stanford.edu/people/rak248/VG_100K_2/2411023.jpg,949139,What color are the birds?,,,,,,
101,101,101,98,98,98,Food.,2373719.jpg,2411023,11363,https://cs.stanford.edu/people/rak248/VG_100K_2/2411023.jpg,1911763,What is wrapped in plastic?,,,,,,
102,102,102,99,99,99,Fan.,2388077.jpg,2411012,11374,https://cs.stanford.edu/people/rak248/VG_100K_2/2411012.jpg,1474510,What is on the ceiling above the window?,,,,,,
103,103,103,100,100,100,Tongue.,2358218.jpg,2411012,11374,https://cs.stanford.edu/people/rak248/VG_100K_2/2411012.jpg,1596229,What is sticking out of the cat's mouth?,,,,,,
104,104,104,101,101,101,Rough.,2397993.jpg,2411012,11374,https://cs.stanford.edu/people/rak248/VG_100K_2/2411012.jpg,1589025,How are the waves?,,,,,,
105,105,105,102,102,102,An afro hairdo on the woman.,2360395.jpg,2411009,11377,https://cs.stanford.edu/people/rak248/VG_100K_2/2411009.jpg,1640899,What is short and brown on the head of object?,,,,,,
106,106,106,103,103,103,2.,2402075.jpg,2411009,11377,https://cs.stanford.edu/people/rak248/VG_100K_2/2411009.jpg,958051,How many animals do you see?,,,,,,
107,107,107,104,104,104,Drawers.,2377493.jpg,2411009,11377,https://cs.stanford.edu/people/rak248/VG_100K_2/2411009.jpg,1985828,What is made of wood?,,,,,,
108,108,108,105,105,105,1.,2329873.jpg,2410923,11460,https://cs.stanford.edu/people/rak248/VG_100K_2/2410923.jpg,595580,How many people do you see?,,,,,,
109,109,109,106,106,106,A man.,2363198.jpg,2410923,11460,https://cs.stanford.edu/people/rak248/VG_100K_2/2410923.jpg,1696405,Who is wearing all black?,,,,,,
110,110,110,107,107,107,Beach.,2341379.jpg,2410923,11460,https://cs.stanford.edu/people/rak248/VG_100K_2/2410923.jpg,394523,Where is this location?,,,,,,
111,111,111,108,108,108,Blue.,2324179.jpg,2410871,11512,https://cs.stanford.edu/people/rak248/VG_100K_2/2410871.jpg,862919,What color is the sky?,,,,,,
112,112,112,109,109,109,Metal.,2373495.jpg,2410871,11512,https://cs.stanford.edu/people/rak248/VG_100K_2/2410871.jpg,1906997,What is the fence made of?,,,,,,
113,113,113,110,110,110,A horse.,2395757.jpg,2410871,11512,https://cs.stanford.edu/people/rak248/VG_100K_2/2410871.jpg,1449771,What is the woman riding on?,,,,,,
114,114,114,111,111,111,White.,2320229.jpg,2410864,11518,https://cs.stanford.edu/people/rak248/VG_100K_2/2410864.jpg,894520,What type of cake is that?,,,,,,
115,115,115,112,112,112,Grazing.,2364936.jpg,2410864,11518,https://cs.stanford.edu/people/rak248/VG_100K_2/2410864.jpg,1731656,What are the sheep doing?,,,,,,
116,116,116,113,113,113,Four.,2407303.jpg,2410864,11518,https://cs.stanford.edu/people/rak248/VG_100K_2/2410864.jpg,1203704,How many carrots are pictured?,,,,,,
117,117,117,114,114,114,Next to the bag.,2361532.jpg,2410855,11527,https://cs.stanford.edu/people/rak248/VG_100K_2/2410855.jpg,1663736,Where is the suitcase?,,,,,,
118,118,118,115,115,115,White.,107966.jpg,2410855,11527,https://cs.stanford.edu/people/rak248/VG_100K_2/2410855.jpg,996511,What is the color of the dishwasher?,,,,,,
119,119,119,116,116,116,One.,2406222.jpg,2410855,11527,https://cs.stanford.edu/people/rak248/VG_100K_2/2410855.jpg,1178894,How many airplanes are in the sky?,,,,,,
120,120,120,117,117,117,Hurley.,2392171.jpg,2410852,11530,https://cs.stanford.edu/people/rak248/VG_100K_2/2410852.jpg,1558086,What does the tent say?,,,,,,
121,121,121,118,118,118,In the day time.,2326152.jpg,2410852,11530,https://cs.stanford.edu/people/rak248/VG_100K_2/2410852.jpg,598554,When was the picture taken?,,,,,,
122,122,122,119,119,119,A baking tray.,2374947.jpg,2410852,11530,https://cs.stanford.edu/people/rak248/VG_100K_2/2410852.jpg,751460,What is the pizza sitting on?,,,,,,
123,123,123,120,120,120,Leaves.,2416561.jpg,2410756,11622,https://cs.stanford.edu/people/rak248/VG_100K_2/2410756.jpg,943636,What are the green items?,,,,,,
124,124,124,121,121,121,Black.,2387580.jpg,2410756,11622,https://cs.stanford.edu/people/rak248/VG_100K_2/2410756.jpg,292129,What color is the train?,,,,,,
125,125,125,122,122,122,White.,2409795.jpg,2410756,11622,https://cs.stanford.edu/people/rak248/VG_100K_2/2410756.jpg,1089858,What color is the table?,,,,,,
126,126,126,123,123,123,Gray and white.,2410248.jpg,2410592,11780,https://cs.stanford.edu/people/rak248/VG_100K_2/2410592.jpg,1099621,What color are the clouds?,,,,,,
127,127,127,124,124,124,In a bedroom.,2368764.jpg,2410592,11780,https://cs.stanford.edu/people/rak248/VG_100K_2/2410592.jpg,1809406,Where does the scene take place?,,,,,,
128,128,128,125,125,125,Fence.,2406074.jpg,2410592,11780,https://cs.stanford.edu/people/rak248/VG_100K_2/2410592.jpg,1175177,What is around the court?,,,,,,
129,129,129,126,126,126,The clouds.,2408677.jpg,2410428,11934,https://cs.stanford.edu/people/rak248/VG_100K_2/2410428.jpg,1065257,What is making the snow dark?,,,,,,
130,130,130,127,127,127,To show the skyline.,2324904.jpg,2410428,11934,https://cs.stanford.edu/people/rak248/VG_100K_2/2410428.jpg,857121,Why was this picture taken?,,,,,,
131,131,131,128,128,128,A brown horse.,2374273.jpg,2410428,11934,https://cs.stanford.edu/people/rak248/VG_100K_2/2410428.jpg,1922708,What is grazing in the field?,,,,,,
132,132,132,129,129,129,Cloud.,2399495.jpg,2410400,11960,https://cs.stanford.edu/people/rak248/VG_100K_2/2410400.jpg,1406057,What is in the blue sky?,,,,,,
133,133,133,130,130,130,Umbrellas.,2365209.jpg,2410400,11960,https://cs.stanford.edu/people/rak248/VG_100K_2/2410400.jpg,631284,What are the people holding over their head?,,,,,,
134,134,134,131,131,131,Smiling.,2396075.jpg,2410400,11960,https://cs.stanford.edu/people/rak248/VG_100K_2/2410400.jpg,1514222,What are the people doing?,,,,,,
135,135,135,132,132,132,A baker.,2318189.jpg,2410395,11964,https://cs.stanford.edu/people/rak248/VG_100K_2/2410395.jpg,910837,Who made these pastries?,,,,,,
136,136,136,133,133,133,White.,2400155.jpg,2410395,11964,https://cs.stanford.edu/people/rak248/VG_100K_2/2410395.jpg,1215537,What's the solid color in the middle of the plate?,,,,,,
137,137,137,134,134,134,Pepperoni.,2347988.jpg,2410395,11964,https://cs.stanford.edu/people/rak248/VG_100K_2/2410395.jpg,645069,What is on the pizza?,,,,,,
138,138,138,135,135,135,3.,2412467.jpg,2410388,11969,https://cs.stanford.edu/people/rak248/VG_100K_2/2410388.jpg,1125454,How many cars are there?,,,,,,
139,139,139,136,136,136,Maybe a motorist.,2394462.jpg,2410388,11969,https://cs.stanford.edu/people/rak248/VG_100K_2/2410388.jpg,1378769,Who took this photo?,,,,,,
140,140,140,137,137,137,It is cloudy.,2391023.jpg,2410388,11969,https://cs.stanford.edu/people/rak248/VG_100K_2/2410388.jpg,226824,Why is it gray outside?,,,,,,
141,141,141,138,138,138,Grass.,2368951.jpg,2410299,12057,https://cs.stanford.edu/people/rak248/VG_100K_2/2410299.jpg,1813372,What substance are the majority of the giraffes standing on?,,,,,,
142,142,142,139,139,139,Meredith Nutting.,2399285.jpg,2410299,12057,https://cs.stanford.edu/people/rak248/VG_100K_2/2410299.jpg,1529325,Who took the photo?,,,,,,
143,143,143,140,140,140,A wall.,2403500.jpg,2410299,12057,https://cs.stanford.edu/people/rak248/VG_100K_2/2410299.jpg,1284130,What barrier is between the crowd and the field?,,,,,,
144,144,144,141,141,141,Brown.,2372353.jpg,2410270,12085,https://cs.stanford.edu/people/rak248/VG_100K_2/2410270.jpg,1882910,What is the mountain colo?,,,,,,
145,145,145,142,142,142,Blue jacket.,2405761.jpg,2410270,12085,https://cs.stanford.edu/people/rak248/VG_100K_2/2410270.jpg,210299,What is the woman wearing?,,,,,,
146,146,146,143,143,143,Black.,2327445.jpg,2410270,12085,https://cs.stanford.edu/people/rak248/VG_100K_2/2410270.jpg,853462,What color is the street?,,,,,,
147,147,147,144,144,144,Afternoon.,2389159.jpg,2410269,12087,https://cs.stanford.edu/people/rak248/VG_100K_2/2410269.jpg,1478811,What time is it?,,,,,,
148,148,148,145,145,145,Plush dog.,2387539.jpg,2410269,12087,https://cs.stanford.edu/people/rak248/VG_100K_2/2410269.jpg,1533182,What is the puppy laying against?,,,,,,
149,149,149,146,146,146,Black.,2359068.jpg,2410269,12087,https://cs.stanford.edu/people/rak248/VG_100K_2/2410269.jpg,636204,What color is the keyboard?,,,,,,
150,150,150,147,147,147,On the ground.,2392145.jpg,2410258,12097,https://cs.stanford.edu/people/rak248/VG_100K_2/2410258.jpg,1432933,Where is the right shoe?,,,,,,
151,151,151,148,148,148,White.,2415563.jpg,2410258,12097,https://cs.stanford.edu/people/rak248/VG_100K_2/2410258.jpg,935655,What color is the sky?,,,,,,
152,152,152,149,149,149,Jeans.,2367434.jpg,2410258,12097,https://cs.stanford.edu/people/rak248/VG_100K_2/2410258.jpg,1781055,What type of pants is the man on the couch wearing?,,,,,,
153,153,153,150,150,150,Fluffy clouds.,2362174.jpg,2410184,12168,https://cs.stanford.edu/people/rak248/VG_100K_2/2410184.jpg,1676001,What is in the sky?,,,,,,
154,154,154,151,151,151,A maple leaf.,2326939.jpg,2410184,12168,https://cs.stanford.edu/people/rak248/VG_100K_2/2410184.jpg,406076,What is on the tail of the plane?,,,,,,
155,155,155,152,152,152,Black and white bird.,2365685.jpg,2410184,12168,https://cs.stanford.edu/people/rak248/VG_100K_2/2410184.jpg,1746794,What animal is in the grass?,,,,,,
156,156,156,153,153,153,Square.,2368838.jpg,2410176,12176,https://cs.stanford.edu/people/rak248/VG_100K_2/2410176.jpg,1810929,What shape is the dinner plate?,,,,,,
157,157,157,154,154,154,Snow.,2388794.jpg,2410176,12176,https://cs.stanford.edu/people/rak248/VG_100K_2/2410176.jpg,1348546,What is the family standing on?,,,,,,
158,158,158,155,155,155,Extremely bright headlights.,150352.jpg,2410176,12176,https://cs.stanford.edu/people/rak248/VG_100K_2/2410176.jpg,1020646,What do the series of cars have?,,,,,,
